Time,X-stress,Y-stress-13883,Z-stress-13883,XY-stress-13883,YZ-stress-13883,ZX-stress-13883,Effective Stress (v-m)-13883, X-strain-13883, Y-strain-13883, Z-strain-13883, XY-strain-13883, YZ-strain-13883, ZX-strain-13883
11999.983398000000000,-0.000006148047760,-0.000005360767773,-0.000004818820798,0.000000006348704,0.000000027343113,-0.000012857398360,0.000022299789634,-0.000473489461000,0.000005305155810,0.000334897486030,0.000003861048754,0.000016629075617,-0.007819397375000
12999.987305000000000,-0.000006289589237,-0.000005407224762,-0.000004766368875,-0.000000004055850,0.000000007655448,-0.000014529367945,0.000025200448363,-0.000532460515390,0.000004161115157,0.000393906113460,-0.000002466618980,0.000004655762041,-0.008836227469100
13999.992188000000000,-0.000022877604351,-0.000021902380468,-0.000021865764211,0.000000003956644,-0.000000017750708,-0.000015377127056,0.000026652527595,-0.000584169058130,0.000008926801456,0.000031195329939,0.000002406285375,-0.000010795328308,-0.009351803921200
14999.996094000000000,-0.000025773750167,-0.000024693345040,-0.000024677246984,-0.000000010773717,-0.000000003477533,-0.000016543599486,0.000028675030990,-0.000645779364280,0.000011282691958,0.000021073470634,-0.000006552179002,-0.000002114907602,-0.010061210021000
15999.999023000000000,-0.000012111320757,-0.000010802846191,-0.000009964312085,0.000000010038017,0.000000030461287,-0.000017099606339,0.000029676677514,-0.000789964688010,0.000005801422503,0.000515767489560,0.000006104753084,0.000018525435735,-0.010399352759000
16999.984375000000000,-0.000004207426173,-0.000002693315309,-0.000001280743959,-0.000000010861580,0.000000002523990,-0.000017885484340,0.000031082126952,-0.000922505045310,-0.000001678313424,0.000857395702040,-0.000006605614090,0.000001534998205,-0.010877294466000
17999.986328000000000,-0.000013418083654,-0.000011702758457,-0.000010496115465,0.000000006175809,0.000000072650643,-0.000019709552362,0.000034232783946,-0.001036994042800,0.000006203622888,0.000740039802620,0.000003755900252,0.000044183452701,-0.011986625381000
18999.988281000000000,-0.000027810459869,-0.000025988107154,-0.000025302628273,-0.000000003659121,0.000000009760671,-0.000020908602892,0.000036284283851,-0.001093061291600,0.000015226902178,0.000432110391560,-0.000002225342769,0.000005936082289,-0.012715843506000
19999.988281000000000,-0.000032377760363,-0.000030417262678,-0.000029776660085,-0.000000010868153,-0.000000083835339,-0.000021794652639,0.000037822635932,-0.001176627702100,0.000015674997485,0.000405265542210,-0.000006609611319,-0.000050985574489,-0.013254706748000
20999.990234000000000,-0.000033460582927,-0.000031314684747,-0.000030524723115,0.000000002692918,0.000000076554748,-0.000022660386094,0.000039337272028,-0.001289498526600,0.000015556355720,0.000495983054860,0.000001637733590,0.000046557786845,-0.013781214133000
